UBICACION,Suma_Conec,EDIFICIO
"Avenida Rafaela Ybarra, 41",2,JUNTA MUNICIPAL DISTRITO
"Autovia M30, km 22",2,AG Urbanismo
"Avenida Arcentales, 28",2,JUNTA MUNICIPAL DISTRITO
"Avenida de Asturias, 68",2,POLICIA MUNICIPAL
"Avenida de Carabanchel Alto, 61",4,POLICIA MUNICIPAL
"Avenida de Las Aguilas, 2A",2,JUNTA MUNICIPAL DISTRITO
"Avenida de las Trece Rosas, 5",35,DG Servicios de Limpieza
"Avenida del Planetario, 5",13,POLICIA MUNICIPAL
"Avenida Mediterraneo, 62",5,MADRID SALUD
"Avenida Monforte de Lemos, 40",7,JUNTA MUNICIPAL DISTRITO
"Calle Bustamante, 16",37,AG Urbanismo
"Calle Montalban, 1",21,AG Coordinacion Territorial
"Calle Sacramento, 4",19,POLICIA MUNICIPAL
"Calle Ribera del Sena, 21",16,AG Urbanismo
"Paseo Viejo, 4",14,Agentes movilidad
"Paseo Pontones, 23",10,SG Agentes movilidad
"Calle Hoyuelo, 7",8,POLICIA MUNICIPAL
"Calle General Diaz Poltier, 33",8,DG Servicios de Limpieza
"Carretera del barrio de la Fortuna, 33",11,MADRID SALUD
